,encoded,original,regenerated
91,[17 40 49 71 48 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
92,[70 93 53 63 48 71 93 48 72 50 69], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
93,[ 18  40  40  95  48 117  41  41], \sqrt { {  z  +  V  } } , \sqrt { { z + V } }
94,[ 40 115  48  40  86  31 114  73  93  41  41], { T + { q \int S dx } } , { T + { q \int S d x } }
95,[60 62 48 36 87 53 61], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
96,[17 40 63 41 40 62 41 36 87 53 62], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
97,[ 40 117  79  41], {  V  j } , { V j }
98,[66 61], 72 , 7 2
99,[ 40  74  49  40 109  41  52  40 107  41  41], {  e  - {  N  } _ {  L  } } , { e - { N } _ { L } }
100,[17 40 60 41 40 62 41 36 87 53 61 77], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
101,[17 40 36 87 53 61 77 41 40 62 41], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
102,[26 42 17 40 36 41 40 63 41 43 50 17 40 60 41 40 18 40 61 41 41], \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
103,[40 40 93 48 98 41 47 98 41], { {  x  + C } >  C  } , { { x + C } > C }
104,[ 30  52  40  40  71  47  85  41  41  40  40  94  49 120  41  41], \sum _ { { b > p } } { { y -  Y  } } , \sum _ { { b > p } } { { y - Y } }
105,[40 70 41 52 40 75 41], { a } _ {  f  } , { a } _ { f }
106,[26 42 17 40 36 41 40 62 41 43 50 17 40 60 41 40 61 41], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
107,[ 40  49  30  40 102  41  41], { - \sum {  G  } } , { - \sum { G } }
108,[40 49 30 52 40 40 64 47 73 41 41 40 93 41 41], { - \sum _ { { 5 >  d  } } {  x  } } , { - \sum _ { { 5 > d } } { x } }
109,[40 49 40 79 41 52 40 40 94 41 52 40 71 41 41 41], { - { j } _ { { y } _ {  b  } } } , { - { j } _ { { y } _ { b } } }
110,[28 52 61 42 61 53 64 43 50 64], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
111,[17 40 60 41 40 26 42 93 43 48 60 41], \frac { 1 } { \sin  ( x  ) + 1 } , \frac { 1 } { \sin ( x ) + 1 }
112,[61 12 48 62 18 40 20 41], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
113,[ 40  67  49  40   9  49  42 100  43  41  41], { 8 - { \ldots -  (  E   ) } } , { 8 - { \ldots - ( E ) } }
114,[ 31  40  49  40  78  32  41  41  73 104], \int { - {  i  \phi } } dI , \int { - { i \phi } } d I
115,[ 40  40  49 104  41  49  40  92  49  83  41  41], { { - I } - { w -  n  } } , { { - I } - { w - n } }
116,[17 40 20 48 13 41 40 15 41], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
117,[80 53 62 48 60 63 80 53 61 49 60 62 61 80 48 60 66 67 68], k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
118,[40 49 87 41], { -  r  } , { - r }
119,[61 51 68], 2.9 , 2 . 9
120,[31 53 40 40 49 85 41 41 52 40 30 40 79 41 41 40 92 93 41 73 12], \int ^ { { -  p  } } _ { \sum { j } } {  w   x  } d \alpha , \int ^ { { - p } } _ { \sum { j } } { w x } d \alpha
121,"[ 30  52  40  83  50  60  41  53 109  42  49  60  43  53  83  26  42  83
  93  43]", \sum _ { n = 1 } ^ N  ( - 1  ) ^ n \sin  ( n x  ) , \sum _ { n = 1 } ^ N ( - 1 ) ^ n \sin ( n x )
122,[119],  X  , X
123,[ 78 113],  iR  , i R
124,[18 40 60 48 18 40 60 48 18 40 60 48 18 40 93 41 41 41 41], \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } , \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
125,[70 53 40 71 53 40 72 53 73 41 41], a ^ { b ^ { c ^ d } } , a ^ { b ^ { c ^ d } }
126,[74 52 40 75 52 40 76 52 77 41 41], e_ { f_ { g_h } } , e _ { f _ { g _ h } }
127,[79],  j  , j
128,"[17 40 93 52 60 41 40 17 40 93 52 61 41 40 17 40 93 52 62 41 40 93 52 63
 41 41 41]", \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } , \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } }
129,"[17 40 17 40 17 40 93 52 63 41 40 93 52 62 41 41 40 93 52 61 41 41 40 93
 52 60 41]", \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } , \frac { \frac { \frac { x _ 4 } { x _ 3 } } { x _ 2 } } { x _ 1 }
130,[30 52 82 75 42 82 48 62 43], \sum _m f  ( m + 3  ) , \sum _ m f ( m + 3 )
131,[74 53 40 31 93 53 61 73 93 41], e ^ { \int x ^ 2 d x } , e ^ { \int x ^ 2 d x }
132,[ 40 109 120  41  52  40 104  41], {  NY  } _ {  I  } , { N Y } _ { I }
133,[17 40 93 41 40 70 48 17 40 93 41 40 71 49 17 40 93 41 40 72 41 41 41], \frac { x } { a + \frac { x } { b - \frac { x } { c } } } , \frac { x } { a + \frac { x } { b - \frac { x } { c } } }
134,[83], n , n
135,[72], c , c
136,[85], p , p
137,[ 40  80  41  53  40 119  41], { k } ^ {  X  } , { k } ^ { X }
138,[61 69], 20 , 2 0
139,[40 49 90 41], { - u } , { - u }
140,[ 40  81  49  40 108  78  41  41], { l - { M  i  } } , { l - { M i } }
141,[68 51 62], 9.3 , 9 . 3
142,[30 40 92 41], \sum {  w  } , \sum { w }
143,[ 89 120],  tY  , t Y
144,[ 40  94  41  53  40 108  41], { y } ^ { M } , { y } ^ { M }
145,[68 51 64], 9.5 , 9 . 5
146,[ 42 108  43],  ( M  ) , ( M )
147,[ 25  17  40  66  41  40  40  77  41  53  40 101  41  41], \cos \frac { 7 } { { h } ^ { F } } , \cos \frac { 7 } { { h } ^ { F } }
148,[40 73 50 18 40 93 41 41], {  d  = \sqrt {  x  } } , { d = \sqrt { x } }
149,[ 30  52  40  40 115  24  76  41  41  40  67  51  61  41], \sum _ { { T \geq g } } { 8.2 } , \sum _ { { T \geq g } } { 8 . 2 }
150,[16], \sigma , \sigma
151,[40 71 41 53 40 66 41], {  b  } ^ { 7 } , { b } ^ { 7 }
152,[42 65 43],  ( 6  ) , ( 6 )
153,[18 40 75 41], \sqrt { f } , \sqrt { f }
154,[78],  i  , i
155,[ 40 101  49  30  40 111  41  41], {  F  - \sum { P } } , { F - \sum { P } }
156,[65 51 66], 6.7 , 6 . 7
157,[40 49 30 40 81 41 41], { - \sum { l } } , { - \sum { l } }
158,[ 17  40  40 113  20  41  41  40  90  41], \frac { {  R  \beta } } {  u  } , \frac { { R \beta } } { u }
159,[ 17  40  71  41  40  30  40 109  41  41], \frac { b } { \sum {  N  } } , \frac { b } { \sum { N } }
160,[ 40 101  41  52  40  98  41], {  F  } _ {  C  } , { F } _ { C }
161,[40 94 23 30 40 79 41 41], { y \leq \sum {  j  } } , { y \leq \sum { j } }
162,"[ 30  52  40  40  14  24  30  40 103  41  41  41  40  40   9  48  31  17
  40 103  41  40  71  41  73 115  41  41]", \sum _ { { \Delta \geq \sum {  H  } } } { { \ldots + \int \frac { H } { b } dT } } , \sum _ { { \Delta \geq \sum { H } } } { { \ldots + \int \frac { H } { b } d T } }
163,[ 40 120  49 111  41], { Y -  P  } , { Y - P }
164,[42 64 43],  ( 5  ) , ( 5 )
165,[ 31  40 114  41  53  40  89  41  73  98], \int {  S  } ^ {  t  } dC , \int { S } ^ { t } d C
166,[71],  b  , b
167,[40  9 49 30 40 79 41 41], { \ldots - \sum { j } } , { \ldots - \sum { j } }
168,[31 53 40 83 41 52 40 40 95 84 41 41 40 85 49 97 41 73 73], \int ^ { n } _ { { z o } } {  p  - B } dd , \int ^ { n } _ { { z o } } { p - B } d d
169,[40 60 90 41], { 1  u  } , { 1 u }
170,[ 25 104], \cos I , \cos I
171,[119], X , X
172,[64], 5 , 5
173,[30 40 84 41], \sum {  o  } , \sum { o }
174,[82], m , m
175,[26 64], \sin 5 , \sin 5
176,[ 40 117  48  61  41], { V + 2 } , { V + 2 }
177,"[ 30  52  40  40 120  50 108  41  41  53  40  40 111  41  53  40  87  41
  42  93  43  41  40  40 102  48 117  41  41]", \sum _ { {  Y  = M } } ^ { {  P  } ^ {  r  }  (  x   ) } { { G + V } } , \sum _ { { Y = M } } ^ { { P } ^ { r } ( x ) } { { G + V } }
178,[40 40 49 30 40 90 41 41 48 96 41], { { - \sum { u } } +  A  } , { { - \sum { u } } + A }
179,[ 40  76 101  41  52  40  79  41], {  gF  } _ {  j  } , { g F } _ { j }
180,[40 49 73 41], { -  d  } , { - d }
181,[40 49 78 41], { - i } , { - i }
182,[61 51 68 68], 2.99 , 2 . 9 9
183,[91],  v  , v
184,[40 49 17 40 94 41 40 74 41 41], { - \frac { y } {  e  } } , { - \frac { y } { e } }
185,[44 88 45],  [ s  ] , [ s ]
186,[40 74 49 40 78 74 41 41], {  e  - { i e } } , { e - { i e } }
187,[78],  i  , i
188,[ 17  40 113  41  40  42  85  43  41], \frac { R } {  (  p   ) } , \frac { R } { ( p ) }
189,[78 42 44 69 45 43],  i   (  [ 0  ]  ) , i ( [ 0 ] )
190,[80],  k  , k
191,[71],  b  , b
192,[26 13], \sin \gamma , \sin \gamma
193,[40  9 48 17 40 74 41 40 88 41 41], { \ldots + \frac {  e  } {  s  } } , { \ldots + \frac { e } { s } }
194,[62], 3 , 3
195,[100], E , E
196,[ 17  40  44  89  45  41  40  30  40 111  41  41], \frac {  [  t   ] } { \sum { P } } , \frac { [ t ] } { \sum { P } }
197,[79],  j  , j
198,[ 40 119  22 101  41],{X\neqF}, { X \neq F }
199,[ 40  66  51  66 113  41], { 7.7  R  } , { 7 . 7 R }
200,[97],  B  , B
201,[40  9 48 40 81 49 82 41 41], { \ldots + { l -  m  } } , { \ldots + { l - m } }
202,[40 14 41 52 40 91 41], { \Delta } _ { v } , { \Delta } _ { v }
203,[83 91],  nv  , n v
204,[68], 9 , 9
205,[ 30  40  40 101  49 103  41  41], \sum { {  F  - H } } , \sum { { F - H } }
206,[40 18 40 94 41 41 53 40 94 41], { \sqrt {  y  } } ^ {  y  } , { \sqrt { y } } ^ { y }
207,[62 65 51 63], 36.4 , 3 6 . 4
208,[ 40 107  30  52  40  40  82  47 114  41  41  40  16  41  41], {  L  \sum _ { {  m  > S } } { \sigma } } , { L \sum _ { { m > S } } { \sigma } }
209,[40 49 65 41], { - 6 } , { - 6 }
210,"[ 40  40 108  41  53  40  81  41  40  17  40  40 120  48 107  41  41  40
 114  41  40 114  78  41  41  41]", { { M } ^ { l } { \frac { { Y + L } } {  S  } { S  i  } } } , { { M } ^ { l } { \frac { { Y + L } } { S } { S i } } }
211,[107],  L  , L
212,[63], 4 , 4
213,[44 40 74 41 53 40 82 41 45],  [ { e } ^ {  m  }  ] , [ { e } ^ { m } ]
214,[18 40 84 41], \sqrt { o } , \sqrt { o }
215,[92],  w  , w
216,[97 72],  Bc  , B c
217,[89], t , t
218,[17 40 86 41 40 83 41], \frac {  q  } { n } , \frac { q } { n }
219,[ 40  82  41  52  40 109  41], { m } _ {  N  } , { m } _ { N }
220,[ 30  52  40  40  90  24  93  41  41  40  40 119  49  85  41  41], \sum _ { { u \geq x } } { {  X  -  p  } } , \sum _ { { u \geq x } } { { X - p } }
221,[84 84],  oo  , o o
222,[ 40 120  49  30  40  74  41  41], { Y - \sum {  e  } } , { Y - \sum { e } }
223,[40 95 41 53 40 17 40 88 41 40 20 41 41], {  z  } ^ { \frac {  s  } { \beta } } , { z } ^ { \frac { s } { \beta } }
224,[30 40 76 41], \sum { g } , \sum { g }
225,[91 85],  vp  , v p
226,[26 53 61 42 93 43 48 25 53 61 42 93 43 50 60], \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 , \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1
227,[36], \pi , \pi
228,[ 40  25  41  53  40 100  41  61  51  65], { \cos } ^ { E } 2.6 , { \cos } ^ { E } 2 . 6
229,[89],  t  , t
230,[98],  C  , C
231,[ 40 109  41  53  40  40  97  48 100  41  41], {  N  } ^ { {  B  +  E  } } , { N } ^ { { B + E } }
232,[42 40 68 49 69 41 43],  ( { 9 - 0 }  ) , ( { 9 - 0 } )
233,[40 67 30 40 61 41 41], { 8 \sum { 2 } } , { 8 \sum { 2 } }
234,[82], m , m
235,[103],  H  , H
236,[40  9 48 88 41], { \ldots +  s  } , { \ldots + s }
237,[65], 6 , 6
238,[40 49 94 41], { - y } , { - y }
239,[69 51 66], 0.7 , 0 . 7
240,[31 52 69 53 36 25 42 17 40 15 41 40 61 41 43 73 15], \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta , \int _ 0 ^ \pi \cos ( \frac { \theta } { 2 } ) d \theta
241,[18 40 60 48 18 40 60 48 95 53 61 41 41], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
242,[70 48 18 40 17 40 71 48 72 41 40 73 48 75 41 41], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
243,[40  9 48 76 41], { \ldots +  g  } , { \ldots + g }
244,"[ 40  40  30  40  93  41  49  17  40  20  41  40  80  41  41  22  17  40
  40 115  49  84  41  41  40  40  94  41  53  40  74  41  42  32  43  41
  41]",{{\sum{x}-\frac{\beta}{k}}\neq\frac{{T-o}}{{y}^{e}(\phi)}}, { { \sum { x } - \frac { \beta } { k } } \neq \frac { { T - o } } { { y } ^ { e } ( \phi ) } }
245,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
246,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
247,"[31 52 40 69 41 53 40 10 41 17 40 95 41 40 18 40 95 53 62 48 60 63 41 41
 73 95]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
248,[ 40  49  40  92  18  40 101  41  41  41], { - { w \sqrt { F } } } , { - { w \sqrt { F } } }
249,[ 40   9  49  30  40 115  41  41], { \ldots - \sum {  T  } } , { \ldots - \sum { T } }
250,[31 74 53 40 49 95 53 61 41 73 95 50 74 87 75 42 95 43], \int e ^ { - z ^ 2 } d z =  erf   ( z  ) , \int e ^ { - z ^ 2 } d z = e r f ( z )
251,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
252,[18 40 91 41], \sqrt {  v  } , \sqrt { v }
253,[79],  j  , j
254,[31 74 53 40 93 53 61 41 93 53 62 73 93], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
255,[17 40 49 71 48 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
256,[17 40 49 71 49 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a }
257,[70 93 53 63 48 71 93 48 72 50 69], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
258,[37], \mu , \mu
259,[60 48 17 40 18 40 70 53 61 48 60 48 71 41 41 40 62 41], 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 } , 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 }
260,[60 62 48 36 87 53 61], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
261,[17 40 63 41 40 62 41 36 87 53 62], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
262,[ 42 117  43],  ( V  ) , ( V )
263,[ 30  52  40  40 101  24  73  41  41  40 111  41], \sum _ { {  F  \geq  d  } } { P } , \sum _ { { F \geq d } } { P }
264,[ 17  40  87  41  40  31  86  73 113  41], \frac { r } { \int q dR } , \frac { r } { \int q d R }
265,[17 40 60 41 40 62 41 36 87 53 61 77], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
266,[17 40 36 87 53 61 77 41 40 62 41], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
267,[26 42 17 40 36 41 40 63 41 43 50 17 40 60 41 40 18 40 61 41 41], \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
268,[ 40  97  40  84 114  41  41], {  B  { o S } } , { B { o S } }
269,[66 51 60], 7.1 , 7 . 1
270,[26 42 17 40 36 41 40 62 41 43 50 17 40 60 41 40 61 41], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
271,[25 42 69 43 50 60], \cos  ( 0  ) = 1 , \cos ( 0 ) = 1
272,[40 79 49 84 41], {  j  - o } , { j - o }
273,[ 40  49  40 102  41  52  40  82  41  41], { - {  G  } _ { m } } , { - { G } _ { m } }
274,[28 52 61 42 61 53 64 43 50 64], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
275,[61 12 48 62 18 40 20 41], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
276,[84],  o  , o
277,[17 40 20 48 13 41 40 15 41], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
278,[80 53 62 48 60 63 80 53 61 49 60 62 61 80 48 60 66 67 68], k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
279,[42 26 42 93 43 53 61 48 62 25 42 93 43 53 61 43 53 63],  ( \sin  ( x  ) ^ 2 + 3 \cos  ( x  ) ^ 2  ) ^ 4 , ( \sin ( x ) ^ 2 + 3 \cos ( x ) ^ 2 ) ^ 4
280,[ 40  49 119  41], { -  X  } , { - X }
281,[ 40   9  48  40 117  49  73  41  41], { \ldots + { V - d } } , { \ldots + { V - d } }
282,[27 42 17 40 36 41 40 63 41 43 50 60], \tan  ( \frac { \pi } { 4 }  ) = 1 , \tan ( \frac { \pi } { 4 } ) = 1
283,[27 42 17 40 36 41 40 61 41 43 50 10], \tan  ( \frac { \pi } { 2 }  ) = \infty , \tan ( \frac { \pi } { 2 } ) = \infty
284,[31 69 51 69 73 86], \int 0.0 dq , \int 0 . 0 d q
285,"[ 30  52  40  83  50  60  41  53 109  42  49  60  43  53  83  26  42  83
  93  43]", \sum _ { n = 1 } ^ N  ( - 1  ) ^ n \sin  ( n x  ) , \sum _ { n = 1 } ^ N ( - 1 ) ^ n \sin ( n x )
286,[40 92 86 41], {  w   q  } , { w q }
287,[18 40 60 48 18 40 60 48 18 40 60 48 18 40 93 41 41 41 41], \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } , \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
288,[70 53 40 71 53 40 72 53 73 41 41], a ^ { b ^ { c ^ d } } , a ^ { b ^ { c ^ d } }
289,[74 52 40 75 52 40 76 52 77 41 41], e_ { f_ { g_h } } , e _ { f _ { g _ h } }
290,[76], g , g
291,[91],  v  , v
