,encoded,original,regenerated
10,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
11,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
12,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
13,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
14,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
15,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
16,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
17,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
18,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
19,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
20,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
21,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
22,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
23,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
24,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
25,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
26,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
27,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
28,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
29,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
30,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
31,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
32,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
33,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
34,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
35,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
36,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
37,"[ 18 117  90 114 100  89 114 100 112  98  90 114  99  88 112  98  91  89
 114  99 113 101  94  91  90  89  88 112 100  95  91 114 100  88 114 100
 116 117  91 114  98 116]",\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}, \frac { b ^ 2 c ^ 2 - 4 b ^ 3 d - 4 a c ^ 3 + 1 8 a b c d - 2 7 a ^ 2 d ^ 2 } { a ^ 4 }
38,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
39,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
40,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
41,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
42,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
43,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
44,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
45,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
46,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
47,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
48,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
49,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
50,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
51,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
52,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
53,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
54,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
55,[ 67 114  98 113  67 113 101 115  92],y^4 + y + 1 = 0, y ^ 4 + y + 1 = 0
56,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
57,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
58,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
59,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
60,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
61,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
62,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
63,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
64,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
65,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
66,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
67,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
68,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
69,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
70,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
71,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
72,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
73,"[ 91 114 100 113  90 114 100 115 120  91 113  90  83 119 120  91 112  90
  83 119]",a^2 + b^2 = (a+bi)(a-bi), a ^ 2 + b ^ 2 = ( a + b i ) ( a - b i )
74,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
75,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
76,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
77,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
78,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
79,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
80,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
81,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
82,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
83,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
84,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
85,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
86,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
87,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
88,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
89,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
90,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
91,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
92,[ 91 114  68  91 114  67 115  91 114 117  68 113  67 116],a^xa^y = a^{x+y}, a ^ x a ^ y = a ^ { x + y }
93,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
94,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
95,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
96,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
97,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
98,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
99,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
100,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
101,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
102,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
103,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
104,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
105,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
106,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
107,"[ 17 108  68 107 117  18 117  91 116 117  90 116 116 115  18 117  17 108
  68 107 117  91 116 116 117  17 108  68 107 117  90 116 116]",\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}, \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
